,rating,votes,awards
514,7.0,160,0
515,7.0,20241,1
516,6.1,1440,1
517,0.0,0,0
518,0.0,0,0
519,7.8,151417,1
520,6.6,7151,0
521,4.1,2567,1
522,6.8,84040,1
523,6.4,4534,1
524,0.0,0,0
525,8.1,1772,1
526,7.7,609,1
527,6.2,335,1
528,6.4,7496,1
529,6.6,607,0
530,8.1,9549,0
531,0.0,0,0
532,7.2,6247,1
533,6.9,533,0
534,7.9,2542,0
535,6.5,3756,1
536,5.6,26795,1
537,7.1,11759,0
538,6.7,416,1
539,6.9,24147,1
540,5.8,5182,1
541,7.5,45667,1
542,7.0,293,1
543,6.0,1835,1
544,6.7,67,0
545,7.9,38715,1
546,7.1,51,0
547,7.6,250176,1
548,5.9,3300,1
549,7.3,308588,1
550,8.0,779728,1
551,6.6,4203,1
552,7.3,1173,1
553,7.5,511,0
554,7.2,557,0
555,7.6,237755,1
556,5.7,20851,1
557,7.0,329,1
558,0.0,0,0
559,8.8,6,0
560,7.0,20293,1
561,6.4,30336,1
562,6.6,77,0
563,5.1,12448,1
564,5.7,363,1
565,6.8,295236,1
566,6.5,212576,1
567,7.7,86,1
568,7.0,18094,1
569,8.5,1703,0
570,6.2,9752,0
571,6.3,2047,0
572,5.5,10650,1
573,5.4,35534,1
574,7.3,11270,1
575,6.7,41874,1
576,7.5,1056,0
577,6.4,1025,1
578,7.3,155,0
579,0.0,0,0
580,7.2,146668,1
581,6.6,2977,1
582,7.7,13993,0
583,8.8,5420,1
584,7.5,45444,1
585,5.1,8265,0
586,6.9,344,0
587,7.6,504,0
588,7.5,814,1
589,6.6,5,0
590,0.0,0,0
591,5.9,9,0
592,8.2,19102,0
593,7.1,1480,0
594,6.7,6,0
595,7.2,272,1
596,6.4,21558,1
597,6.7,52020,1
598,7.3,120707,1
599,5.8,17404,1
600,6.5,2570,1
601,7.0,6479,1
602,7.9,31287,1
603,7.4,7624,1
604,8.3,419,0
605,0.0,0,0
606,6.1,6519,1
607,7.4,124261,1
608,8.4,24041,1
609,7.1,577465,1
610,7.3,635041,1
611,6.6,465510,1
612,8.0,992127,1
613,6.7,193,0
614,5.7,3085,0
615,5.7,696,1
616,0.0,0,0
617,0.0,0,0
618,7.7,2023,0
619,6.5,383,0
620,6.6,138,0
621,0.0,0,0
622,0.0,0,0
623,6.7,163209,1
624,4.9,13201,1
625,7.4,8533,1
626,7.1,4850,1
627,6.4,6031,1
628,0.0,0,0
629,8.4,21778,1
630,8.5,163,0
631,5.6,20758,1
632,5.4,14569,1
633,8.1,42,0
634,7.1,611,1
635,6.4,1158,1
636,6.8,3478,0
637,7.4,14265,1
638,5.7,2030,1
639,8.0,612483,1
640,5.5,4915,1
641,5.3,282,1
642,6.7,571,0
643,6.6,9032,0
644,6.8,1759,0
645,5.9,32647,1
646,6.4,6019,0
647,7.8,190945,1
648,0.0,0,0
649,5.9,4201,0
650,5.6,5338,1
651,6.7,23581,1
652,4.1,1960,0
653,6.3,1087,0
654,0.0,0,0
655,6.2,1135,1
656,7.6,110712,1
657,7.8,5,0
658,7.8,526836,1
659,6.0,23711,1
660,7.2,968,1
661,7.2,607,1
662,7.7,2122,0
663,6.0,259,0
664,6.2,4784,1
665,6.5,140,0
666,6.9,3879,1
667,4.9,1100,1
668,7.4,1320,0
669,7.5,147182,1
670,7.7,331,0
671,0.0,0,0
672,6.9,556,0
673,7.1,10155,1
674,7.2,25455,1
675,5.1,7,0
676,7.8,126,1
677,7.2,6,0
678,8.2,76,0
679,0.0,0,0
680,4.8,10911,1
681,0.0,0,0
682,4.7,5651,1
683,6.5,503,1
684,6.7,2364,1
685,6.3,16,0
686,7.1,1778,1
687,7.3,302244,1
688,6.4,83764,1
689,5.6,47046,1
690,5.0,1022,1
691,7.2,129694,1
692,7.4,4198,1
693,6.3,5998,1
694,6.7,399,0
695,5.2,24563,1
696,7.6,174379,1
697,6.5,1355,0
698,6.0,2043,1
699,8.5,2519,1
700,7.1,350,0
